"","zipcode","estimate_households_under_10","estimate_households_10_15","estimate_households_15_25","estimate_households_25_35","estimate_households_35_45","estimate_households_50_75","estimate_households_75_100","estimate_households_100_150","estimate_households_150_200","estimate_households_over_200","median_income"
"28632","83525","18.8","3.6","31.3","12.5","16.1","3.1","10.4","0.0","4.2","0.0","24028"
"28633","83526","1.9","8.7","13.5","10.6","7.7","24.0","18.3","13.5","1.9","0.0","60500"
"28634","83530","10.6","11.0","6.5","14.7","16.1","26.2","1.6","9.8","3.6","0.0","39263"
"28635","83533","0.0","0.0","7.4","21.1","15.8","13.7","13.7","13.7","14.7","0.0","57292"
"28636","83535","10.1","2.3","7.1","9.4","17.2","18.9","15.7","14.0","2.9","2.3","57721"
"28637","83536","11.1","6.5","15.2","17.0","18.8","16.6","6.4","6.5","1.6","0.4","35197"
"28638","83537","3.1","3.1","12.2","10.5","13.8","18.7","15.8","14.7","2.2","5.8","56635"
"28639","83539","10.3","7.5","11.8","13.0","16.2","18.7","6.3","12.1","3.2","0.9","40729"
"28640","83540","7.4","8.8","9.7","12.2","14.2","24.1","10.7","7.7","3.0","2.3","44875"
"28641","83541","11.0","5.7","10.3","12.9","12.9","17.5","13.1","11.0","3.2","2.3","44886"
"28642","83542","0.0","16.7","18.3","25.0","25.0","15.0","0.0","0.0","0.0","0.0","27250"
"28643","83543","4.9","3.5","13.4","9.2","20.8","18.0","9.2","11.7","3.2","6.0","48750"
"28644","83544","5.9","5.4","10.8","15.1","18.9","18.6","14.1","6.4","1.9","2.9","45298"
"28645","83545","6.0","8.2","12.0","16.8","15.8","27.7","8.7","3.3","1.6","0.0","44167"
"28646","83546","6.1","3.0","19.6","15.2","20.0","14.3","6.1","15.7","0.0","0.0","37750"
"28647","83547","7.0","14.8","22.5","17.6","8.5","13.4","13.4","2.8","0.0","0.0","31000"
"28648","83548","5.9","0.0","9.8","25.5","11.8","33.3","9.8","0.0","3.9","0.0","47250"
"28649","83549","2.1","10.8","20.2","13.3","14.8","15.7","4.5","15.1","0.9","2.7","40172"
"28650","83552","7.7","15.9","20.1","16.4","17.1","12.6","5.1","1.9","3.3","0.0","32000"
"28651","83553","11.5","6.4","10.3","28.0","6.3","23.3","7.8","5.6","0.5","0.3","32088"
"28652","83554","4.5","7.7","10.8","14.0","7.7","38.3","0.0","17.1","0.0","0.0","54643"
"28653","83555","7.9","5.4","12.9","18.3","9.5","17.0","21.6","6.2","1.2","0.0","40417"
"28654","83601","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","-"
"28655","83602","0.0","0.0","0.0","0.0","100.0","0.0","0.0","0.0","0.0","0.0","-"
"28656","83604","3.2","0.0","8.1","26.1","11.3","26.1","2.7","18.0","0.0","4.5","50938"
"28657","83605","7.4","6.6","10.3","12.6","17.4","20.5","12.3","9.7","1.9","1.4","45997"
"28658","83607","7.7","4.8","8.2","10.2","16.2","22.7","12.3","12.0","1.6","4.4","52578"
"28659","83610","7.0","4.4","22.0","12.2","11.7","16.1","8.5","10.9","4.7","2.6","39000"
"28660","83611","2.0","7.6","11.8","6.8","13.2","29.7","10.3","8.8","6.4","3.3","55664"
"28661","83612","7.6","5.0","12.9","14.1","21.2","14.7","15.3","4.9","1.8","2.6","41458"
"28662","83615","10.5","4.7","0.0","11.4","6.1","29.2","20.7","5.8","11.7","0.0","61250"
"28663","83616","6.2","2.3","6.1","5.1","9.6","15.1","12.6","20.3","9.1","13.6","82874"
"28664","83617","7.7","7.7","14.0","9.2","19.8","22.5","9.2","6.9","2.2","0.7","42615"
"28665","83619","5.0","2.1","14.4","8.2","18.5","16.3","12.9","15.7","1.9","5.0","52004"
"28666","83622","2.3","5.1","9.1","13.0","14.7","22.2","9.3","15.1","6.5","2.7","55000"
"28667","83623","13.2","13.4","16.9","12.0","20.6","12.5","6.4","3.3","0.7","1.0","29297"
"28668","83624","4.1","5.6","5.1","13.9","30.6","16.5","4.3","13.1","0.0","6.9","46528"
"28669","83626","6.9","5.2","12.1","11.6","13.9","32.8","8.5","5.2","2.3","1.5","50469"
"28670","83627","10.9","8.8","23.0","0.0","21.8","15.9","12.1","5.0","2.5","0.0","36620"
"28671","83628","5.7","8.2","21.5","10.5","14.0","23.6","7.1","7.2","1.4","0.8","38468"
"28672","83629","5.8","3.3","14.4","13.0","16.3","15.5","11.1","15.0","4.4","1.2","45625"
"28673","83631","3.1","1.4","28.0","14.0","17.5","24.4","2.8","5.7","3.1","0.0","41250"
"28674","83632","14.9","0.0","5.0","14.9","6.8","11.2","29.2","8.1","9.9","0.0","69792"
"28675","83633","3.6","5.4","4.1","15.4","14.5","14.9","12.2","22.6","7.2","0.0","58393"
"28676","83634","2.7","9.6","5.6","7.5","9.9","23.0","18.0","18.8","2.0","3.1","66935"
"28677","83636","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","100.0","-"
"28678","83637","15.3","6.9","19.4","16.7","9.7","18.1","13.9","0.0","0.0","0.0","31250"
"28679","83638","6.4","6.4","5.1","15.2","12.2","18.6","12.6","13.4","3.0","7.3","54546"
"28680","83639","6.7","4.8","19.9","10.6","15.1","17.6","10.7","10.7","1.6","2.3","41901"
"28681","83641","3.9","4.9","9.9","18.7","14.1","16.5","13.8","8.5","4.4","5.4","46207"
"28682","83642","5.8","2.6","7.5","7.7","13.6","18.2","15.9","16.5","6.9","5.2","68758"
"28683","83643","9.6","0.0","9.6","28.8","6.8","27.4","0.0","9.6","8.2","0.0","-"
"28684","83644","7.8","3.0","9.3","10.4","15.3","14.8","15.5","13.1","6.9","3.7","56021"
"28685","83645","9.8","4.9","10.1","13.7","20.4","12.2","12.5","11.0","1.8","3.7","43333"
"28686","83646","5.8","1.4","6.3","7.8","11.6","22.0","14.3","17.3","7.2","6.2","69724"
"28687","83647","4.5","5.1","14.7","11.1","15.6","22.3","13.1","8.9","3.1","1.5","48929"
"28688","83648","4.7","3.2","19.1","14.2","26.5","13.4","12.5","4.0","2.6","0.0","40638"
